timestep,demand_el,pv,demand_th
234,261321.4891153,0,0.2245092746
235,272873.7266154,0,0.2336330134
236,271350.6589466,0,0.2230021434
237,261012.260225,0,0.2064410265
238,254583.06852,0,0.1716966041
239,258949.1958373,0,0.1184548408
240,248361.5678607,0,0.1133077078
241,237829.3241631,0,0.1469452338
242,228506.3038873,0,0.1500444621
243,224315.5601198,0,0.1569258683
244,222017.1125469,0,0.1740503842
245,224380.1751118,0,0.2175136794
246,234764.7273992,0,0.2993166845
247,263486.0913477,0,0.3541620446
248,292812.0670072,0,0.3316082816
249,305042.7619234,0,0.3062301219
250,308878.1232348,0.074326,0.2851263663
251,312902.7141657,0.17006,0.2630026701
252,317988.8371083,0.18191,0.2502968704
253,318602.6795323,0.13116,0.2435902264
254,316262.6937503,0.12365,0.2437331516
255,311587.3375427,0.092392,0.246778243
256,308730.4318245,0.042049,0.2542671496
257,308531.9714919,0,0.2675343843
258,320642.6671372,0,0.2856671632
259,325461.0993986,0,0.297276272
260,321842.659846,0,0.2837494791
261,308573.5097011,0,0.2626769986
262,296605.8901095,0,0.2184679538
263,290615.1572788,0,0.1507227637
264,272550.6516554,0,0.1441735159
265,257873.8177559,0,0.1655940671
266,248186.184311,0,0.1700881514
267,242481.6035878,0,0.1773041705
268,239790.8507062,0,0.1901486592
269,241392.3794368,0,0.2237509635
270,250480.0165274,0,0.2962577996
271,280784.4477801,0,0.3471333528
272,312016.5657039,0,0.3351252995
273,321759.5834277,0,0.315651352
274,321787.2755671,0.076031,0.2983471149
275,323236.4975308,0.19581,0.2770327689
276,324118.0306361,0.25131,0.2642448856
277,325207.2547871,0.24616,0.256127093
278,322848.8075787,0.20346,0.2549524913
279,318833.447361,0.13178,0.2589620391
280,316918.0743835,0.051561,0.2677427087
281,318118.0670923,0,0.2775301242
282,332462.5953185,0,0.2933761694
283,337521.0261216,0,0.3062412067
284,333039.51489,0,0.2953162858
285,318118.0670923,0,0.2754339962
286,306118.1400047,0,0.2359839151
287,297215.117177,0,0.1693646938
288,279658.3007765,0,0.1625716563
289,266347.6124224,0,0.1154860344
290,257592.281005,0,0.1179217554
291,250849.2450531,0,0.1233299357
292,246833.8848354,0,0.1367882996
293,249510.7916472,0,0.1709466284
294,258616.8901641,0,0.2352365983
295,286955.1795171,0,0.2783402294
296,318348.8349209,0,0.2606149545
297,328581.0804413,0,0.2406699522
298,328179.5444196,0.078986,0.2240842557
299,330750.2980303,0.17921,0.2066969757
300,332693.3631471,0.1955,0.1967113342
301,331045.6808509,0.14795,0.1914405016
302,330224.147381,0.13245,0.1915528283
303,326628.7846113,0.094354,0.1939460024
304,324856.4876876,0.04193,0.1998316246
305,324708.7962773,0,0.2102585046
306,337534.8721913,0,0.2245092746
307,341499.4634868,0,0.2336330134
308,335721.0370585,0,0.2230021434
309,318127.2978054,0,0.2064410265
310,304170.4595312,0,0.1716966041
311,296481.275482,0,0.1184548408
312,279436.7636611,0,0.1133077078
313,259318.424363,0,0.1237197599
314,249496.9455775,0,0.1263291388
315,242283.1432552,0,0.1321229022
316,239707.774288,0,0.1465407975
317,240473.9234789,0,0.1831344883
318,250064.6344359,0,0.2520080944
319,276575.2425863,0,0.2981848543
320,306358.1385464,0,0.2791958332
321,315971.9262862,0,0.2578288263
322,316581.1533537,0.081722,0.2400606312
323,319114.9841119,0.19784,0.2214337026
324,322318.0415729,0.24148,0.210736122
325,322142.6580232,0.22345,0.2050894987
326,319701.1343965,0.18917,0.2052098338
327,314905.7789181,0.12726,0.2077736323
328,311633.4911084,0.053661,0.2140788775
329,310336.5759116,0,0.2252491553
330,323504.188212,0,0.2405159524
331,327750.3162584,0,0.2502901799
332,322054.9662483,0,0.2389013683
333,306108.9092915,0,0.2211595052
334,291819.7653441,0,0.1839379346
335,284329.0416275,0,0.1269002312
336,266652.2259562,0,0.1213861267
337,252330.7745128,0,0.1395121852
338,242786.2171216,0,0.1424546429
339,237446.2495676,0,0.1489879614
